gene_name,log2FoldChange,pvalue,log pvalue
floA,0.666248651,4.66E-06,5.331502507
SAUSA300_RS16105,0.667411473,3.93E-07,6.405179306
SAUSA300_RS03675,0.668137798,0.01429231,1.844897585
SAUSA300_RS03715,0.66832603,4.02E-05,4.39593038
pgsA,0.668535401,5.90E-10,9.229042432
SAUSA300_RS02305,0.673925519,7.37E-05,4.132749214
SAUSA300_RS10870,0.673980344,1.26E-06,5.900057662
SAUSA300_RS08295,0.67527967,0.002915265,2.535321971
SAUSA300_RS13685,0.676187586,0.006756433,2.170282522
-,0.679358322,0.038983155,1.409123019
vraX,0.680680016,0.000466746,3.330918946
acsA,0.68113873,8.81E-05,4.054890177
SAUSA300_RS09825,0.681992687,0.000742188,3.12948598
SAUSA300_RS07590,0.684618209,0.019302343,1.714389966
cvfB,0.684734958,8.74E-13,12.05851832
SAUSA300_RS01755,0.689915523,3.54E-05,4.450537215
SAUSA300_RS14035,0.692539183,0.000760628,3.118827488
-,0.692650154,0.027684232,1.557767522
pruA,0.695858121,1.74E-17,16.75971897
SAUSA300_RS03450,0.697901109,0.005092836,2.293040339
sek,0.698499098,0.006131486,2.212434228
SAUSA300_RS03335,0.700575439,0.001187948,2.925202638
SAUSA300_RS01770,0.701205212,0.00075435,3.122427257
nusB,0.707135932,2.24E-08,7.650187109
rpsA,0.709086706,4.43E-06,5.353276589
merA,0.709166485,1.33E-05,4.876588366
SAUSA300_RS13390,0.715201976,0.006662688,2.176350521
xseA,0.715683137,1.22E-07,6.91517593
SAUSA300_RS10800,0.717762616,2.96E-08,7.52882997
SAUSA300_RS10990,0.718783439,2.25E-06,5.647276271
SAUSA300_RS02290,0.719838407,9.43E-11,10.02558005
polX,0.722840709,0.008157325,2.08845226
SAUSA300_RS00360,0.72480412,6.92E-07,6.159741633
SAUSA300_RS06330,0.726423043,4.40E-07,6.35650877
SAUSA300_RS07165,0.727588639,0.00134798,2.870316468
walK,0.729380893,0.000518736,3.285053687
murF,0.730030774,1.58E-08,7.801959761
SAUSA300_RS05485,0.730101416,2.33E-06,5.633202299
radA,0.730640131,3.80E-06,5.420354824
SAUSA300_RS03885,0.731651692,7.85E-07,6.104909936
pckA,0.731899686,3.32E-05,4.479024255
SAUSA300_RS10415,0.732645332,3.40E-07,6.469127808
codY,0.73299995,0.000826764,3.082618683
rpe,0.733180695,0.000165308,3.781705114
aaa,0.73425571,2.41E-07,6.618242266
SAUSA300_RS06445,0.735713987,0.004865327,2.312887971
SAUSA300_RS09100,0.736979019,0.002489965,2.603806808
SAUSA300_RS12990,0.737258971,1.09E-08,7.962742907
SAUSA300_RS03625,0.737899467,3.84E-09,8.415292883
SAUSA300_RS02870,0.739322385,5.84E-07,6.233746858
SAUSA300_RS08290,0.740887081,0.000714086,3.146249725
SAUSA300_RS06835,0.741043858,0.024367249,1.613193493
SAUSA300_RS13050,0.741270916,6.07E-08,7.216891156
recR,0.74147664,3.07E-06,5.512675615
SAUSA300_RS08310,0.742043715,0.000231116,3.636169221
pdxS,0.75447542,0.000277222,3.557172268
ruvX,0.756588929,1.27E-06,5.89692237
SAUSA300_RS13870,0.758095799,4.04E-10,9.393844269
menD,0.758179598,0.000828918,3.081488194
rpmG,0.760890135,7.21E-06,5.142187375
SAUSA300_RS10815,0.761455343,4.69E-08,7.329007109
ftsL,0.761596197,8.32E-06,5.079691311
SAUSA300_RS04725,0.764687623,0.003185342,2.496843903
SAUSA300_RS05960,0.765657645,2.53E-06,5.596159034
ypdA,0.766909434,0.000647845,3.18852904
-,0.766960078,0.035946689,1.444341107
efb,0.766964227,0.027048282,1.567860314
plsY,0.769623696,0.010893713,1.962824061
graR,0.769683987,5.37E-12,11.27018588
SAUSA300_RS10765,0.770848951,2.20E-06,5.657023876
fni,0.771860553,1.61E-07,6.792828765
SAUSA300_RS06630,0.773268905,2.18E-07,6.661806904
SAUSA300_RS04930,0.774967114,0.001421456,2.847266585
dnaJ,0.784373715,0.008814366,2.054808914
hslV,0.785678531,0.000300283,3.522469512
SAUSA300_RS08030,0.786193037,1.27E-06,5.897205629
fmhC,0.78759196,0.001450967,2.838342425
zapA,0.788523956,9.56E-07,6.019526278
recQ,0.788904925,3.21E-08,7.493301578
SAUSA300_RS05455,0.789445913,2.91E-08,7.535789101
SAUSA300_RS07500,0.790161867,0.000938916,3.027373065
zwf,0.79269719,0.000149894,3.824215755
SAUSA300_RS01295,0.795915863,0.048994564,1.3098521
pdxT,0.797136645,0.000527563,3.277725915
SAUSA300_RS14350,0.801832733,1.04E-05,4.984869522
SAUSA300_RS04440,0.801948128,0.035769124,1.4464917
-,0.802868243,0.047299807,1.325140631
SAUSA300_RS07680,0.805450024,0.003026732,2.519026056
SAUSA300_RS05370,0.806070598,5.30E-05,4.275491155
-,0.806171412,0.000580686,3.236058596
femA,0.807642723,0.001651924,2.782010028
gltB,0.810473361,0.024334324,1.613780715
SAUSA300_RS03720,0.815186356,0.001079964,2.966590739
rsmD,0.815936698,0.000225599,3.646663357
SAUSA300_RS07050,0.816702999,2.46E-05,4.608729175
-,0.819852942,0.016216175,1.790051576
hslU,0.820928065,0.001570631,2.803925854
SAUSA300_RS10820,0.821908516,0.000123557,3.908132312
panB,0.822431764,1.93E-05,4.714376586
SAUSA300_RS05605,0.825033148,2.78E-09,8.556254568
SAUSA300_RS10475,0.826359767,1.64E-06,5.785570406
SAUSA300_RS07495,0.826907208,1.62E-11,10.78994898
SAUSA300_RS06110,0.827325375,0.000104419,3.981221043
smc,0.8280692,3.46E-05,4.461345135
SAUSA300_RS06325,0.830294663,8.49E-06,5.070899179
-,0.83238023,2.81E-05,4.551508968
-,0.834235416,0.031804867,1.497506414
SAUSA300_RS06465,0.834691833,2.32E-06,5.63449137
SAUSA300_RS05800,0.836095374,2.69E-05,4.571021192
SAUSA300_RS15635,0.836844922,2.95E-05,4.530445519
SAUSA300_RS14610,0.838514595,0.00457918,2.339212294
vraR,0.83990231,1.95E-10,9.710981949
-,0.840151925,0.004922381,2.307824784
SAUSA300_RS10825,0.847747746,1.45E-05,4.838216681
tpx,0.848260445,7.43E-05,4.129115685
SAUSA300_RS01045,0.848627681,1.71E-12,11.76744573
SAUSA300_RS12010,0.848886659,4.95E-06,5.304987075
SAUSA300_RS03225,0.849125786,1.64E-06,5.786424994
SAUSA300_RS03630,0.849666549,1.20E-09,8.922611017
smpB,0.849953868,3.22E-05,4.49166715
SAUSA300_RS08355,0.850810055,1.27E-08,7.897294464
grpE,0.850826981,0.000173981,3.759499131
sbnG,0.851335296,0.025766694,1.588941306
SAUSA300_RS13205,0.852810422,7.09E-05,4.149657015
SAUSA300_RS04875,0.853160043,1.05E-05,4.978587892
SAUSA300_RS12860,0.853696527,1.74E-05,4.759216669
SAUSA300_RS10875,0.854077823,6.00E-07,6.2221597
SAUSA300_RS02350,0.854402724,0.000112694,3.948100249
SAUSA300_RS08440,0.855789116,3.79E-07,6.421515129
SAUSA300_RS08635,0.856439319,9.28E-06,5.03250971
fakB1,0.856853279,5.28E-10,9.277010461
coaD,0.857556698,1.91E-07,6.718485847
SAUSA300_RS09650,0.865634492,0.000953786,3.020549274
SAUSA300_RS07880,0.866435865,1.38E-06,5.861590855
rpmF,0.867884057,0.019806524,1.703191745
narI,0.870376669,1.93E-10,9.714663875
SAUSA300_RS01440,0.870901953,0.002020374,2.694568214
SAUSA300_RS13940,0.870974316,0.00019169,3.717401137
SAUSA300_RS06040,0.872556387,1.87E-16,15.72717679
SAUSA300_RS03940,0.873685137,1.47E-09,8.833310857
cozEb,0.880411704,2.00E-05,4.698787366
SAUSA300_RS05055,0.881718217,0.000594132,3.22611698
SAUSA300_RS08595,0.884006474,1.08E-07,6.968072452
SAUSA300_RS05635,0.884143559,5.68E-06,5.245377435
SAUSA300_RS01040,0.885045743,9.60E-09,8.017615354
mreD,0.887300531,2.67E-10,9.573271176
SAUSA300_RS08025,0.887450634,9.09E-12,11.04165121
SAUSA300_RS11730,0.892232855,2.72E-10,9.565653754
SAUSA300_RS03530,0.893049365,3.03E-07,6.518109897
msrB,0.89388181,1.49E-05,4.827544569
vraG,0.89478047,5.63E-06,5.249395331
SAUSA300_RS06380,0.895097213,0.000123636,3.907856687
SAUSA300_RS13300,0.896228069,0.001363303,2.865407493
SAUSA300_RS04045,0.896414941,0.000175111,3.75668673
SAUSA300_RS11465,0.897264793,5.97E-11,10.22399133
SAUSA300_RS01885,0.89871405,4.41E-15,14.35546697
pmtA,0.900409332,2.43E-07,6.614949199
SAUSA300_RS08590,0.90084526,2.47E-16,15.60808585
SAUSA300_RS08755,0.902009161,6.36E-12,11.1964577
SAUSA300_RS08795,0.902611286,0.000327303,3.485049956
scpB,0.904972066,3.02E-09,8.520326043
SAUSA300_RS04460,0.90630103,2.56E-05,4.590996868
cwrA,0.909475092,6.75E-06,5.170608598
SAUSA300_RS04385,0.909582277,0.000116292,3.934449315
queD,0.920797767,0.018417253,1.73477515
SAUSA300_RS12900,0.921724181,0.00010662,3.972160095
SAUSA300_RS05935,0.922771082,3.27E-05,4.485651236
SAUSA300_RS05715,0.923565831,5.86E-10,9.232114327
SAUSA300_RS10775,0.92827359,5.87E-07,6.231057587
SAUSA300_RS05330,0.92868878,1.65E-09,8.783241725
SAUSA300_RS13770,0.929570888,6.72E-07,6.172516894
SAUSA300_RS07945,0.930370344,7.67E-10,9.115426101
fdhD,0.931964092,6.34E-05,4.1980085
nfsA,0.932141306,0.000272176,3.565150091
SAUSA300_RS09695,0.932423353,8.75E-10,9.057774729
yycH,0.932543153,7.89E-06,5.102927994
SAUSA300_RS04400,0.932762872,0.001401786,2.8533184
nusA,0.933689282,6.20E-09,8.207857164
SAUSA300_RS12530,0.933935475,1.96E-09,8.708030267
SAUSA300_RS04765,0.934916118,0.02479822,1.605579487
sirA,0.934986868,0.000104258,3.981890632
-,0.937843574,9.99E-05,4.000520907
SAUSA300_RS08320,0.939152247,4.16E-15,14.38046728
xerD,0.940208916,6.59E-08,7.180849518
SAUSA300_RS07985,0.940883762,6.70E-07,6.174146577
SAUSA300_RS04190,0.943256718,9.63E-05,4.016557106
SAUSA300_RS03230,0.943388801,3.81E-08,7.418552516
SAUSA300_RS16085,0.943740503,2.87E-07,6.542000421
-,0.947585824,0.00826282,2.082871689
SAUSA300_RS06935,0.949760451,7.09E-07,6.149184027
SAUSA300_RS07230,0.949772431,0.008807215,2.055161407
thiM,0.951088155,0.033235721,1.4783949
SAUSA300_RS02165,0.951696731,0.006139024,2.21190065
SAUSA300_RS04025,0.952802772,2.26E-07,6.646149799
SAUSA300_RS16020,0.953475907,0.000271322,3.566515545
phoU,0.954231839,0.000669002,3.174572908
SAUSA300_RS02010,0.954645611,2.71E-12,11.5676236
SAUSA300_RS05925,0.955087992,0.000222215,3.653227111
yycI,0.955492993,4.74E-06,5.3245838
SAUSA300_RS05325,0.956783646,3.05E-16,15.5160793
SAUSA300_RS06320,0.957581003,7.67E-08,7.115009705
SAUSA300_RS01290,0.961474541,0.001838765,2.735473779
sufB,0.961538759,6.72E-06,5.172853722
SAUSA300_RS05930,0.962218453,2.62E-06,5.58126244
nreA,0.963689211,2.13E-12,11.67228852
SAUSA300_RS04240,0.96453091,4.43E-06,5.353265252
pstB,0.964662682,0.005082455,2.293926497
clpP,0.96744741,3.19E-13,12.49613491
SAUSA300_RS06280,0.967569852,6.28E-07,6.201705752
SAUSA300_RS05410,0.967822255,0.000114337,3.941813654
SAUSA300_RS09645,0.968158162,0.001908587,2.719288142
tkt,0.975758642,0.000819198,3.086611263
SAUSA300_RS12000,0.976178799,6.23E-08,7.20530261
SAUSA300_RS10330,0.976573163,6.12E-12,11.21308852
sfaA,0.977561127,0.044717616,1.349521357
SAUSA300_RS09245,0.980630691,0.001823279,2.739146897
SAUSA300_RS00375,0.980749034,0.002597978,2.585364478
SAUSA300_RS02190,0.981805914,1.23E-05,4.911164396
hemY,0.982184612,0.000226071,3.645754786
SAUSA300_RS07905,0.983428929,4.07E-17,16.39058709
yfhO,0.98544118,3.99E-10,9.398568026
-,0.98570034,0.001782137,2.749059034
SAUSA300_RS08070,0.987248276,0.003382833,2.47071942
-,0.988973244,0.016627263,1.779179239
SAUSA300_RS09250,0.989825546,3.84E-17,16.41613884
SAUSA300_RS03880,0.990184194,3.61E-09,8.442670636
lacC,0.992371086,0.025122932,1.599929673
-,0.992968806,1.19E-12,11.92403703
SAUSA300_RS00770,0.992995518,2.66E-11,10.57501288
SAUSA300_RS04230,0.993083211,4.67E-06,5.33092742
ebpS,0.994106388,3.72E-06,5.429226997
SAUSA300_RS14425,0.994279255,0.011212633,1.950292396
SAUSA300_RS10810,0.997756769,4.35E-13,12.36132497
SAUSA300_RS13270,1.001934128,8.45E-05,4.073098381
SAUSA300_RS13750,1.002228368,0.00099511,3.002128985
-,1.005611821,0.005278097,2.277522667
SAUSA300_RS02105,1.005767543,0.00343673,2.463854602
SAUSA300_RS11735,1.006349832,3.19E-19,18.49679394
SAUSA300_RS11725,1.006621409,8.64E-09,8.063736599
SAUSA300_RS00695,1.007667173,0.025892213,1.586830832
nrdH,1.008809589,8.26E-08,7.083045938
SAUSA300_RS13015,1.011227362,0.001052033,2.977970525
-,1.011249598,0.042860085,1.367946967
rimP,1.013368203,1.56E-14,13.80824064
SAUSA300_RS13865,1.013942032,1.66E-12,11.77860054
ftsY,1.014594775,0.000207659,3.682649123
SAUSA300_RS06805,1.01726266,1.96E-10,9.708672166
SAUSA300_RS00955,1.019952106,7.93E-14,13.10094133
SAUSA300_RS09640,1.020845214,0.001272894,2.895207837
-,1.029261173,0.001516044,2.819288206
sasG,1.029863006,5.49E-10,9.260796427
SAUSA300_RS12745,1.029984441,0.001796553,2.745559946
SAUSA300_RS05660,1.030238218,5.29E-15,14.27628457
-,1.033361679,0.000243196,3.614044453
SAUSA300_RS06510,1.034575373,8.75E-06,5.057811324
-,1.03476619,4.05E-05,4.392173759
SAUSA300_RS07845,1.037541902,1.59E-05,4.799455252
pepF,1.038603874,2.78E-08,7.556515375
SAUSA300_RS00715,1.039190514,1.13E-06,5.946047549
SAUSA300_RS05705,1.041493505,9.41E-06,5.026581602
SAUSA300_RS12005,1.042411858,7.55E-07,6.12180197
SAUSA300_RS05080,1.04576308,3.12E-05,4.50602529
spxA,1.04606475,2.36E-13,12.62767675
SAUSA300_RS10915,1.049677941,1.62E-19,18.79048295
SAUSA300_RS13290,1.052453265,6.72E-07,6.172399046
sbcD,1.053269191,0.000170544,3.768164517
SAUSA300_RS04545,1.057515825,6.82E-10,9.166073203
fetB,1.060639462,1.74E-05,4.758414048
SAUSA300_RS08640,1.063471974,0.001854366,2.731804619
-,1.065224257,3.74E-08,7.427653753
SAUSA300_RS12840,1.068019811,1.69E-11,10.77165181
SAUSA300_RS13725,1.068228407,3.51E-06,5.454533472
-,1.072402958,0.00619109,2.208232864
SAUSA300_RS09050,1.075972156,0.000454828,3.342153008
icaR,1.077582036,4.06E-08,7.391793437
SAUSA300_RS06570,1.079242601,1.16E-07,6.935824073
sdhB,1.080909768,2.91E-09,8.53540407
opp4C,1.081533465,0.001558318,2.807343812
SAUSA300_RS00380,1.081599196,0.005214081,2.28282219
SAUSA300_RS07300,1.082962904,3.26E-10,9.487279461
SAUSA300_RS12405,1.083359058,9.47E-06,5.023494514
SAUSA300_RS04880,1.083508943,5.68E-05,4.246008714
SAUSA300_RS14190,1.084114374,3.64E-07,6.438727151
SAUSA300_RS08570,1.084874488,4.98E-11,10.30296977
SAUSA300_RS04225,1.086494766,3.91E-08,7.40816899
SAUSA300_RS13085,1.09124942,0.015807398,1.801139621
queE,1.091732176,6.44E-05,4.191231087
SAUSA300_RS09700,1.09248511,0.004775601,2.320971924
SAUSA300_RS07855,1.092617267,9.46E-11,10.02410925
aroD,1.093051361,1.46E-06,5.835106957
SAUSA300_RS05420,1.094117842,1.32E-10,9.879914647
mutM,1.096682515,4.08E-05,4.389187864
SAUSA300_RS08630,1.097697303,1.61E-12,11.79440413
SAUSA300_RS06285,1.099697005,2.94E-11,10.5310918
SAUSA300_RS08750,1.10166994,4.74E-12,11.3245659
SAUSA300_RS01795,1.108624923,6.95E-09,8.15771651
-,1.110510059,0.003552231,2.449498748
SAUSA300_RS10975,1.112538957,0.017001299,1.769517896
gtfA,1.11711242,7.61E-05,4.118814406
yaaA,1.117868507,1.72E-17,16.76495531
SAUSA300_RS12985,1.123108541,3.71E-16,15.4301403
SAUSA300_RS02375,1.123723352,0.001847833,2.733337293
graS,1.125567601,5.80E-14,13.23688214
SAUSA300_RS05405,1.128680228,2.29E-13,12.64084494
prmA,1.130283507,1.39E-05,4.856125198
tet(38),1.136100822,2.39E-08,7.621567507
SAUSA300_RS05615,1.137778625,1.59E-05,4.798688155
gtfB,1.139055944,0.000141858,3.848145761
SAUSA300_RS02160,1.143547298,0.010352874,1.984939084
recG,1.144335322,1.25E-08,7.904639166
bshA,1.144518444,4.67E-07,6.330673305
SAUSA300_RS02385,1.145483813,0.00065165,3.185985902
glmS,1.146149439,3.88E-11,10.41161564
coaBC,1.149240688,6.28E-14,13.20202011
SAUSA300_RS05725,1.151623413,0.024158765,1.616925276
SAUSA300_RS11230,1.154003889,0.000310503,3.507934762
SAUSA300_RS07965,1.155469123,1.89E-19,18.72447183
SAUSA300_RS04315,1.156888234,0.000683608,3.165193073
-,1.158667876,0.014386467,1.842045841
SAUSA300_RS03445,1.159231911,1.61E-08,7.793722558
SAUSA300_RS02050,1.159249653,3.21E-18,17.49409884
SAUSA300_RS08890,1.160856223,2.91E-05,4.536598448
rpoB,1.161512946,1.15E-12,11.94071554
rpsU,1.163583071,0.000400542,3.397351825
SAUSA300_RS10940,1.166475511,8.82E-09,8.054457253
rbfA,1.168342927,1.26E-08,7.899119921
SAUSA300_RS01175,1.173963072,0.013276043,1.876931365
SAUSA300_RS03655,1.179217327,0.000157877,3.80168115
sasC,1.179371254,5.25E-19,18.27980255
-,1.179593882,0.002440563,2.612510019
SAUSA300_RS07580,1.181587894,1.15E-05,4.939723672
SAUSA300_RS08155,1.182340332,4.61E-14,13.33607167
fdhF,1.182897114,0.000641092,3.19307951
SAUSA300_RS14345,1.183126666,3.13E-12,11.50383984
-,1.183480784,2.27E-12,11.64303486
SAUSA300_RS13495,1.184376283,4.56E-09,8.341192048
SAUSA300_RS08220,1.184453862,9.90E-11,10.0045068
lipA,1.184773532,1.43E-12,11.84319702
-,1.185614619,5.38E-05,4.269378624
ytxJ,1.186640469,1.58E-13,12.80132648
SAUSA300_RS12300,1.189396584,4.59E-07,6.338201635
SAUSA300_RS08350,1.190307317,3.18E-07,6.497399342
SAUSA300_RS10760,1.190615587,4.24E-06,5.372558036
SAUSA300_RS08935,1.195104571,4.73E-09,8.324917844
SAUSA300_RS01050,1.195401744,2.23E-21,20.65219259
SAUSA300_RS00225,1.195547355,8.03E-13,12.09538577
SAUSA300_RS11500,1.196371296,1.06E-13,12.97561904
SAUSA300_RS06665,1.200574408,9.50E-14,13.02209302
SAUSA300_RS04640,1.203299521,1.15E-07,6.93793391
SAUSA300_RS14570,1.203978276,0.000240754,3.618426183
SAUSA300_RS04380,1.205302335,3.24E-20,19.48974498
SAUSA300_RS04295,1.209110627,8.04E-08,7.094645929
SAUSA300_RS13980,1.212220345,2.32E-06,5.634110211
sdpA,1.214317184,9.59E-08,7.018193275
-,1.216858292,0.046681584,1.330854414
SAUSA300_RS08255,1.218565604,8.46E-15,14.07285573
SAUSA300_RS03870,1.219490437,4.01E-05,4.396744809
SAUSA300_RS11590,1.220962605,7.81E-09,8.107356655
SAUSA300_RS14565,1.221725037,1.27E-11,10.89458662
budA,1.223171816,8.07E-20,19.09316293
SAUSA300_RS01260,1.229495411,6.99E-06,5.155494781
SAUSA300_RS04645,1.23058225,2.85E-07,6.544735718
-,1.230899175,1.60E-08,7.79539395
SAUSA300_RS07350,1.232495112,7.59E-08,7.119678531
menH,1.235075522,4.02E-06,5.395664766
raiA,1.238833643,4.13E-23,22.38423944
SAUSA300_RS10270,1.241643647,6.76E-22,21.17003499
tagH,1.243021882,8.92E-21,20.04966579
SAUSA300_RS08150,1.256096396,7.58E-06,5.120469329
SAUSA300_RS00370,1.256306238,0.00014228,3.846856208
SAUSA300_RS10945,1.257162777,1.83E-19,18.73837604
deoC,1.257529856,2.06E-14,13.68533852
SAUSA300_RS05060,1.258326732,1.44E-05,4.840848935
agrB,1.259124274,2.78E-11,10.5567118
infB,1.262892606,4.32E-13,12.36460671
SAUSA300_RS00890,1.262968167,8.00E-05,4.096746688
recF,1.263913974,3.95E-12,11.40302441
SAUSA300_RS10660,1.269480421,3.62E-11,10.44092854
SAUSA300_RS10755,1.269613635,5.73E-16,15.24168329
SAUSA300_RS00990,1.274387835,4.78E-05,4.320755218
SAUSA300_RS04510,1.274937003,1.12E-05,4.951540065
SAUSA300_RS13560,1.275620632,5.33E-08,7.273333763
SAUSA300_RS03725,1.278499646,1.08E-09,8.964890073
SAUSA300_RS03910,1.279614838,5.65E-07,6.248005848
SAUSA300_RS04375,1.28575836,7.84E-06,5.105819741
vraE,1.286420608,2.98E-05,4.525898422
-,1.289640209,0.000743582,3.128671149
truA,1.293131758,9.01E-08,7.045345844
SAUSA300_RS12220,1.293204674,6.78E-13,12.16897774
SAUSA300_RS01750,1.294459504,5.54E-06,5.25669651
SAUSA300_RS05920,1.294728336,8.30E-10,9.081154767
rnpB,1.295247233,8.82E-26,25.05446456
SAUSA300_RS13960,1.303314028,5.97E-08,7.223894424
deoB,1.304038855,2.41E-05,4.618088423
hfq,1.304430937,3.96E-17,16.40188989
femB,1.307061356,7.85E-05,4.105325177
ecb,1.308604985,7.41E-07,6.1302242
SAUSA300_RS03540,1.31040107,5.74E-09,8.24125255
SAUSA300_RS14585,1.313996459,0.002921689,2.534366021
-,1.314061561,3.53E-08,7.452438599
SAUSA300_RS12675,1.319343476,1.01E-07,6.995961506
SAUSA300_RS07550,1.319431243,0.0380177,1.420014159
SAUSA300_RS10750,1.3215259,1.54E-21,20.81241585
SAUSA300_RS07345,1.322160279,1.24E-15,14.90650346
-,1.322848062,0.027710794,1.557351032
